method,compute_time_ms,std_ms,compute_time_with_std
threshold,6.112890243530273,7.2803500985580705,6.11 ± 7.28
liv_text,8.717894554138184,8.3558644265566,8.72 ± 8.36
ot,4.3091630935668945,0.1934858383435294,4.31 ± 0.19
temporal_ot,8.808279037475586,0.3663837734673048,8.81 ± 0.37
dtw,4.737730026245117,0.16051940333741463,4.74 ± 0.16
coverage,4.332332611083984,0.30010147691359434,4.33 ± 0.30
